City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cherskiy,RU,68.75,161.3,62.38,37,13,8.7,few clouds
79,Katsuura,JP,35.1333,140.3,82.45,81,100,11.43,overcast clouds
80,Norman Wells,CA,65.282,-126.8329,66.24,55,75,4.61,broken clouds
81,Fortuna,US,40.5982,-124.1573,64.92,75,26,3.0,scattered clouds
82,Hermanus,ZA,-34.4187,19.2345,49.42,83,0,11.18,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,87,40,9.22,scattered clouds
84,Mahebourg,MU,-20.4081,57.7,64.26,74,59,7.11,light rain
85,Roma,US,43.2128,-75.4557,78.87,90,100,1.45,overcast clouds
86,Chalmette,US,29.9427,-89.9634,86.0,77,90,1.99,overcast clouds
87,Luwuk,ID,-0.9516,122.7875,81.77,69,95,5.95,overcast clouds
88,Salinopolis,BR,-0.6136,-47.3561,79.16,84,96,8.79,overcast clouds
89,Nola,IT,40.922,14.5329,79.21,81,0,0.43,clear sky
90,Maldonado,UY,-34.6667,-54.9167,54.79,97,100,5.41,overcast clouds
91,Qasigiannguit,GL,68.8193,-51.1922,36.82,97,92,1.72,overcast clouds
92,Acapulco,MX,16.8634,-99.8901,81.84,79,100,2.42,overcast clouds
93,Yerbogachen,RU,61.2767,108.0108,73.36,59,64,2.75,broken clouds
94,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.55,81,100,12.37,overcast clouds
95,Washington,US,47.5001,-120.5015,99.57,16,7,3.44,clear sky
96,Port Elizabeth,ZA,-33.918,25.5701,53.1,100,75,4.61,broken clouds
97,Belen,TR,36.4891,36.2233,67.33,57,0,6.13,clear sky
98,Correntina,BR,-13.3433,-44.6367,71.35,56,37,7.29,scattered clouds
99,Paita,PE,-5.0892,-81.1144,63.93,90,15,14.85,few clouds
100,Barrow,US,71.2906,-156.7887,42.82,87,100,11.5,overcast clouds
101,Port Hardy,CA,50.6996,-127.4199,73.58,64,40,5.75,scattered clouds
102,Brae,GB,60.3964,-1.353,52.7,93,100,16.06,light rain
103,Ocampo,MX,21.65,-101.5,67.66,46,22,24.34,few clouds
104,Atuona,PF,-9.8,-139.0333,76.6,65,13,14.14,few clouds
105,Litovko,RU,49.2361,135.1742,76.39,70,9,7.11,clear sky
106,Tautira,PF,-17.7333,-149.15,77.99,78,4,12.97,light rain
107,Moussoro,TD,13.6408,16.4901,84.67,55,75,11.39,broken clouds
108,San Patricio,US,28.017,-97.5169,88.52,62,0,16.55,clear sky
109,Gisborne,NZ,-38.6533,178.0042,54.03,77,100,14.92,overcast clouds
110,Ahipara,NZ,-35.1667,173.1667,62.49,96,100,19.33,light rain
111,Upernavik,GL,72.7868,-56.1549,40.82,96,100,6.46,overcast clouds
112,Mwinilunga,ZM,-11.7358,24.4293,55.08,53,0,4.68,clear sky
113,Soyo,AO,-6.1349,12.3689,69.44,93,74,4.23,broken clouds
114,Dolores,AR,-36.3132,-57.6792,51.48,91,100,10.0,overcast clouds
115,Blairmore,CA,49.6,-114.4353,81.99,23,100,6.42,overcast clouds
116,New Norfolk,AU,-42.7826,147.0587,52.92,77,75,2.44,broken clouds
117,Sibolga,ID,1.7427,98.7792,77.36,87,100,2.51,overcast clouds
118,Lebu,CL,-37.6167,-73.65,53.42,92,100,13.76,moderate rain
119,Talnakh,RU,69.4865,88.3972,56.21,71,96,27.29,overcast clouds
120,Mareeba,AU,-17.0,145.4333,74.44,70,5,6.55,clear sky
121,Sabya,SA,17.1495,42.6254,82.02,62,100,6.22,light rain
122,Lotoshino,RU,56.2267,35.6414,61.52,98,100,5.46,light rain
123,Meulaboh,ID,4.1363,96.1285,76.77,89,100,2.71,overcast clouds
124,Deoband,IN,29.7,77.6833,83.71,63,91,13.15,overcast clouds
125,Avera,US,33.194,-82.5271,82.54,75,100,5.7,overcast clouds
126,Castro,BR,-24.7911,-50.0119,58.84,72,100,2.86,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,58.86,58,66,5.12,broken clouds
128,Suntar,RU,62.1444,117.6319,82.22,59,68,4.32,broken clouds
129,Seymchan,RU,62.8833,152.4333,67.23,46,55,2.46,broken clouds
130,East London,ZA,-33.0153,27.9116,59.32,54,100,6.49,overcast clouds
131,Hilo,US,19.7297,-155.09,84.27,81,93,5.01,overcast clouds
132,Port Lincoln,AU,-34.7333,135.8667,57.34,56,7,22.68,clear sky
133,Emba,KZ,48.8264,58.1442,72.73,57,100,3.27,light rain
134,Jumla,NP,29.2747,82.1838,61.61,95,92,1.3,overcast clouds
135,Iqaluit,CA,63.7506,-68.5145,47.93,87,40,3.44,scattered clouds
136,Nishihara,JP,26.1842,127.7558,87.08,84,40,8.05,scattered clouds
137,Thompson,CA,55.7435,-97.8558,71.76,37,20,3.44,few clouds
138,Bondoukou,CI,8.0333,-2.8,70.52,85,100,5.28,overcast clouds
139,Manggar,ID,-2.8833,108.2667,81.82,79,47,14.61,scattered clouds
140,Miri,MY,4.4148,114.0089,77.14,100,40,4.61,scattered clouds
141,Ancud,CL,-41.8697,-73.8203,47.23,94,92,7.11,overcast clouds
142,Bambous Virieux,MU,-20.3428,57.7575,68.68,75,52,7.52,broken clouds
143,Kodiak,US,57.79,-152.4072,52.95,97,100,7.63,light rain
144,Rayadrug,IN,14.7,76.8667,72.57,83,100,13.0,overcast clouds
145,Mehran,IR,33.1222,46.1646,88.03,12,0,10.54,clear sky
146,Torbay,CA,47.6666,-52.7314,74.17,74,20,16.11,few clouds
147,Muriwai Beach,NZ,-36.8167,174.45,56.48,97,100,24.38,light rain
148,Xingyi,CN,24.1877,102.817,68.81,76,0,3.11,clear sky
149,Magog,CA,45.2668,-72.1491,79.5,83,100,17.27,overcast clouds
150,Barra Do Garcas,BR,-15.89,-52.2567,72.12,40,0,2.39,clear sky
151,Mazsalaca,LV,57.8633,25.0547,58.42,82,100,6.4,overcast clouds
152,Bjornevatn,NO,69.6672,29.9847,50.34,76,40,3.44,scattered clouds
153,Henties Bay,NA,-22.116,14.2845,54.68,86,0,3.13,clear sky
154,Padang,ID,-0.9492,100.3543,75.25,95,100,3.71,light rain
155,Nsanje,MW,-16.92,35.262,62.85,91,0,3.22,clear sky
156,Janow Lubelski,PL,50.707,22.4104,58.23,83,89,0.65,overcast clouds
157,Flinders,AU,-34.5833,150.8552,64.38,77,66,5.01,broken clouds
158,Parambu,BR,-6.2111,-40.6944,78.69,43,99,9.13,overcast clouds
159,Nalut,LY,30.3333,10.85,78.87,26,0,10.04,clear sky
160,Sitka,US,57.0531,-135.33,56.35,99,100,6.06,light rain
161,Palmer,US,42.1584,-72.3287,84.06,66,41,7.36,scattered clouds
162,Gunzenhausen,DE,49.1,10.75,65.37,67,8,5.32,clear sky
163,Khatanga,RU,71.9667,102.5,66.34,76,100,14.09,light rain
164,Dikson,RU,73.5069,80.5464,49.75,95,100,13.56,overcast clouds
165,Provideniya,RU,64.3833,-173.3,46.51,76,100,7.0,light rain
166,Deputatskiy,RU,69.3,139.9,65.39,50,99,6.44,overcast clouds
167,Ishinomaki,JP,38.4167,141.3,77.0,85,100,0.81,overcast clouds
168,Bereda,ES,43.2686,-7.5406,56.14,100,99,1.45,overcast clouds
169,Necochea,AR,-38.5473,-58.7368,48.24,89,100,8.37,overcast clouds
170,Smithville,US,39.3869,-94.5811,77.95,39,98,5.97,overcast clouds
171,Inhambane,MZ,-23.865,35.3833,67.5,78,96,16.35,overcast clouds
172,Kavieng,PG,-2.5744,150.7967,85.26,70,8,11.59,clear sky
173,Pacific Grove,US,36.6177,-121.9166,70.39,83,100,13.8,overcast clouds
174,Cabo San Lucas,MX,22.8909,-109.9124,89.62,73,13,5.01,few clouds
175,Pisco,PE,-13.7,-76.2167,60.85,88,0,12.66,clear sky
176,Leningradskiy,RU,69.3833,178.4167,35.11,94,100,4.14,overcast clouds
177,Klaksvik,FO,62.2266,-6.589,49.12,93,98,20.87,overcast clouds
178,Ixtapa,MX,20.7,-105.2,80.22,92,84,1.01,light rain
179,Rocha,UY,-34.4833,-54.3333,56.28,98,100,3.11,overcast clouds
180,Bissau,GW,11.8636,-15.5977,75.02,90,56,1.57,broken clouds
181,Bilaspur,IN,22.0833,82.15,76.23,93,100,5.64,heavy intensity rain
182,Moron,AR,-34.6534,-58.6198,58.95,99,100,11.5,mist
183,Anadyr,RU,64.75,177.4833,54.1,58,75,6.71,broken clouds
184,Inirida,CO,3.8653,-67.9239,71.06,97,62,1.66,broken clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,51.1,97,100,8.01,overcast clouds
186,Petropavlivka,UA,48.4564,36.4367,66.38,69,100,2.46,overcast clouds
