City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Ambilobe,MG,61.72,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
438,Shahrud,IR,68.76,clear sky,36.4182,54.9763,Royal Hotel
439,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
442,Mahajanga,MG,68.58,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
443,Yabelo,ET,55.27,clear sky,4.8833,38.0833,Asnakech W/michael
446,Banyo,CM,64.76,overcast clouds,6.75,11.8167,Motel JOMBA
447,Kyshtovka,RU,56.5,broken clouds,56.555,76.6271,Uyutnaya Mini-Hotel
448,Heilbron,ZA,38.77,clear sky,-27.2812,27.9709,Guest house
451,Klerksdorp,ZA,39.72,clear sky,-26.8521,26.6667,Alte Welkom Guesthouse
456,Mananara,MG,65.1,light rain,-16.1667,49.7667,Chez Roger
459,Chilca,PE,60.55,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
460,Zhigansk,RU,65.23,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
462,Teya,RU,61.72,few clouds,60.3778,92.6267,
464,Stettler,CA,68.45,overcast clouds,52.3168,-112.7186,Ramada by Wyndham Stettler
466,Ostrovnoy,RU,49.42,overcast clouds,68.0531,39.5131,
467,Pangnirtung,CA,51.64,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
477,Springbok,ZA,47.95,clear sky,-29.6643,17.8865,Undulata Country Lodge
478,Port Macquarie,AU,63.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
479,Kubanskiy,RU,64.94,scattered clouds,45.9292,40.5806,"Бальнеологический центр «Термы», Геотермальный источник"
481,Berlevag,NO,49.8,overcast clouds,70.8578,29.0864,Kvitbrakka
483,Staryy Nadym,RU,50.76,overcast clouds,65.6118,72.6842,
486,Kaeo,NZ,61.32,overcast clouds,-35.1,173.7833,Bushido Lodge
489,Mikkeli,FI,55.15,fog,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
492,Leh,IN,60.49,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
498,Rawson,AR,42.17,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
499,Xining,CN,63.21,clear sky,36.6167,101.7667,Super Leisure Hotel
500,Tovuz,AZ,64.02,clear sky,40.9922,45.6289,Tovuz Olimpiya Idman Kompleksi
501,Les Herbiers,FR,65.91,broken clouds,46.8667,-1.0167,Maison Marie Barrault
502,Neuquen,AR,46.29,broken clouds,-38.9516,-68.0591,Hotel del Comahue
505,Leshukonskoye,RU,48.34,scattered clouds,64.8989,45.7622,Pryalitsa Hostel
508,Burnie,AU,55.92,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
514,Dunmore East,IE,60.69,overcast clouds,52.1514,-6.9861,The Strand Inn
516,Clara,IE,56.39,overcast clouds,53.3425,-7.6139,"Chapel Hill, East Green"
517,Wakkanai,JP,66.6,overcast clouds,45.4094,141.6739,Hyōsetsu-sō
518,Faya,SA,63.05,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
525,Emerald,AU,66.34,scattered clouds,-23.5333,148.1667,The Irish Village
526,Akonolinga,CM,66.88,moderate rain,3.7667,12.25,Le Diamant De Mireille
527,San Juan,AR,60.4,clear sky,-31.5375,-68.5364,Hotel Provincial
528,Chute-Aux-Outardes,CA,60.78,thunderstorm with light rain,49.1168,-68.399,Camp St-Paul Gite Plein-Air
532,Pangody,RU,49.84,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
535,Nelson Bay,AU,61.11,clear sky,-32.7167,152.15,Mantra Nelson Bay
536,Uige,AO,63.23,clear sky,-7.6087,15.0613,Hotel Catraio
539,Christchurch,NZ,45.41,drizzle,-43.5333,172.6333,The George
541,Dudinka,RU,56.62,light rain,69.4058,86.1778,Hotel Viktoria
548,Magistralnyy,RU,68.09,broken clouds,56.1725,107.4458,Магистраль
549,Fort Nelson,CA,69.89,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
550,Svetlyy,RU,59.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
551,Los Andes,CL,48.0,broken clouds,-32.8337,-70.5983,Hotel Los Andes
553,Hofn,IS,50.74,overcast clouds,64.2539,-15.2082,Hótel Höfn
555,Viedma,AR,46.13,overcast clouds,-40.8135,-62.9967,Hotel Cristal
556,Kurilsk,RU,54.9,overcast clouds,45.2333,147.8833,Hotel Ostrov
557,Nemuro,JP,63.37,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
558,Ulladulla,AU,61.0,broken clouds,-35.35,150.4667,Sandpiper Motel
564,Camamu,BR,67.48,overcast clouds,-13.9447,-39.1039,Hotel Rio Acarai
566,Raga,SS,69.58,overcast clouds,8.4596,25.678,
569,Margate,GB,66.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
570,Ianca,RO,68.81,broken clouds,45.1333,27.45,minuta vidrascu
571,Canete,CL,51.93,light rain,-37.8,-73.4,Alojamiento El Alero Criollo
579,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
581,Selfoss,IS,51.04,overcast clouds,63.9331,-20.9971,Selfoss HI Hostel
583,Muravlenko,RU,52.07,clear sky,63.7898,74.523,Hostel Rus Muravlenko
585,Nuuk,GL,43.41,scattered clouds,64.1835,-51.7216,Vandrehuset
588,Seabra,BR,63.0,broken clouds,-12.4186,-41.7703,Cambuí Hotel
593,Cervo,ES,64.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
601,Beringovskiy,RU,45.41,overcast clouds,63.05,179.3167,
603,Timra,SE,61.68,overcast clouds,62.487,17.3257,Bergefors park
604,Kokstad,ZA,39.52,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
607,Sharlyk,RU,65.08,light rain,52.9167,54.75,"Gostinitsa-Kafe ""Komil'fo"""
609,Campbellton,CA,68.65,moderate rain,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
610,Bulgan,MN,57.4,clear sky,48.8125,103.5347,Unitel Булган салбар
613,Koindu,GN,68.29,light rain,8.4386,-10.3253,
614,Orlovskiy,RU,65.17,overcast clouds,46.8714,42.0592,Tulip Hotel
615,Visnes,NO,61.21,moderate rain,59.3556,5.2242,Park Inn Haugesund Airport
618,Taltal,CL,57.67,clear sky,-25.4,-70.4833,Residencial Karime
620,Krasnoselkup,RU,51.58,light rain,65.7,82.4667,Krasnosel'kupnefteprodukt
621,Soe,ID,69.84,broken clouds,-9.8607,124.284,Dena Hotel
622,Klyuchi,RU,60.73,broken clouds,52.2667,79.1667,Vesolaya Mayovka
623,Kununurra,AU,69.78,clear sky,-15.7667,128.7333,Hotel Kununurra
630,Surgut,RU,57.38,clear sky,61.25,73.4167,Business Hotel
631,Shakawe,BW,57.42,clear sky,-18.3667,21.85,Ditlhapi Guest House
634,Neropolis,BR,66.2,clear sky,-16.4064,-49.2186,Pousada Recanto do Cerrado
640,Purpe,RU,52.92,broken clouds,64.4803,76.6897,"Gostinnitsa ""Valentina"""
646,Kropotkin,RU,61.9,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
649,Togur,RU,51.49,overcast clouds,58.3631,82.8265,
650,Hokitika,NZ,52.92,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
651,Malatya,TR,62.65,clear sky,38.5,38.0,
653,Nome,US,55.17,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
658,Ystad,SE,61.54,overcast clouds,55.4297,13.8204,Continental du Sud
663,Muromtsevo,RU,56.37,clear sky,56.3724,75.2418,Plyazh U Reki Tara
667,Mandalgovi,MN,68.56,clear sky,45.7625,106.2708,В.Ганбат
671,Paamiut,GL,44.37,clear sky,61.994,-49.6678,Pistut
672,Villa Carlos Paz,AR,63.9,broken clouds,-31.4241,-64.4978,Monte Carlo vcp
674,Luziania,BR,67.69,clear sky,-16.2525,-47.9503,HOTEL SARON
680,Magnitogorsk,RU,59.83,scattered clouds,53.4186,59.0472,Korona
683,Dongning,CN,68.95,overcast clouds,44.0622,131.1207,Huayu Hotel
685,Notre-Dame-Du-Lac,CA,68.88,moderate rain,47.6136,-68.7964,Auberge La Dolce Vita
693,Batemans Bay,AU,55.09,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
